CURVE,X,Y
2867,100,1159.9
2865,79,0
2865,80,706.7
2865,90,801.6
2865,100,893.1
1484,79,0
1484,80,603.8
1484,90,688.3
1484,100,768.9
1484,110,840.4
1484,120,906.9
1484,130,968.1
1484,140,1024.9
666,79,0
666,80,603.8
666,90,688.3
666,100,768.9
666,110,840.4
666,120,906.9
666,130,968.1
666,140,1024.9
636,79,0
636,80,603.8
636,90,688.3
636,100,768.9
636,110,840.4
636,120,906.9
636,130,968.1
636,140,1024.9
1027,79,0
1027,80,603.8
1027,90,688.3
1027,100,768.9
1027,110,840.4
1027,120,906.9
1027,130,968.1
1027,140,1024.9
2947,79,0
2947,80,603.8
2947,90,688.3
2947,100,768.9
2947,110,840.4
2947,120,906.9
2947,130,968.1
2947,140,1024.9
1080,79,0
1080,80,603.8
1080,90,688.3
1080,100,768.9
1080,110,840.4
1080,120,906.9
1080,130,968.1
1080,140,1024.9
3378,79,0
3378,80,603.8
3378,90,688.3
3378,100,768.9
3378,110,840.4
3378,120,906.9
3378,130,968.1
3378,140,1024.9
3136,79,0
3136,80,603.8
3136,90,688.3
3136,100,768.9
3136,110,840.4
3136,120,906.9
3136,130,968.1
3136,140,1024.9
3079,79,0
3079,80,603.8
3079,90,688.3
3079,100,768.9
3079,110,840.4
3079,120,906.9
3079,130,968.1
3079,140,1024.9
2956,79,0
2956,80,603.8
2956,90,688.3
2956,100,768.9
2956,110,840.4
2956,120,906.9
2956,130,968.1
2956,140,1024.9
1858,79,0
1858,80,603.8
1858,90,688.3
1858,100,768.9
1858,110,840.4
1858,120,906.9
1858,130,968.1
1858,140,1024.9
2302,79,0
2302,80,603.8
2302,90,688.3
2302,100,768.9
2302,110,840.4
2302,120,906.9
2302,130,968.1
2302,140,1024.9
1094,79,0
1094,80,603.8
1094,90,688.3
1094,100,768.9
1094,110,840.4
1094,120,906.9
1094,130,968.1
1094,140,1024.9
497,79,0
497,80,603.8
497,90,688.3
497,100,768.9
497,110,840.4
497,120,906.9
497,130,968.1
497,140,1024.9
2869,79,0
2869,101,0
2869,102,1
1202,79,0
1202,130,0
1202,131,1
473,79,0
473,130,0
473,131,1
638,79,0
638,140,0
638,141,1
354,79,0
354,140,0
354,141,1
637,79,0
637,100,0
637,101,1
637,140,1
637,141,0
472,79,0
472,100,0
472,101,1
472,130,1
472,131,0
2868,79,0
2868,100,0
2868,101,1
2868,102,0
1201,79,0
1201,100,0
1201,101,1
1201,130,1
1201,131,0
353,79,0
353,100,0
353,101,1
353,140,1
353,141,0
350,79,0
350,80,603.8
350,90,688.3
350,100,768.9
350,110,840.4
350,120,906.9
350,130,968.1
350,140,1024.9
1086,79,0
1086,80,422.6
1086,90,481.8
1086,100,538.2
1086,110,588.3
1086,120,634.8
1086,130,677.7
1086,140,717.4
3385,79,0
3385,80,422.6
3385,90,481.8
3385,100,538.2
3385,110,588.3
3385,120,634.8
3385,130,677.7
3385,140,717.4
2301,79,0
2301,80,422.6
2301,90,481.8
2301,100,538.2
2301,110,588.3
2301,120,634.8
2301,130,677.7
2301,140,717.4
1483,79,0
1483,80,422.6
1483,90,481.8
1483,100,538.2
1483,110,588.3
1483,120,634.8
1483,130,677.7
1483,140,717.4
349,79,0
349,80,422.6
349,90,481.8
349,100,538.2
349,110,588.3
349,120,634.8
349,130,677.7
349,140,717.4
3383,79,0
3383,80,120.8
3383,90,137.7
3383,100,153.8
3383,110,168.1
3383,120,181.4
3383,130,193.6
3383,140,205
3077,79,0
3077,80,120.8
3077,90,137.7
